sub	RT	condition	conditionName	correct	category	repeatDist	conditionCheck	categoryNum	phase	test
5	1320	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	2187	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	2139	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1688	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	1880	2	mixed	1	BigFam	0	2	1	SixItems	6
5	2702	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	2329	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	4485	1	uniform	0	BigFam	0	1	1	SixItems	6
5	1622	2	mixed	1	BigFam	0	2	1	SixItems	6
5	1343	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	2616	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	2570	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1517	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	2262	2	mixed	1	BigFam	0	2	1	SixItems	6
5	1170	1	uniform	1	BigFam	0	1	1	SixItems	6
5	2003	2	mixed	0	SmallFam	0	2	2	SixItems	6
5	1360	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	1713	2	mixed	1	BigFam	0	2	1	SixItems	6
5	1712	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	1452	2	mixed	1	BigFam	0	2	1	SixItems	6
5	3417	2	mixed	0	SmallFam	0	2	2	SixItems	6
5	2388	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1258	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	1527	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	1807	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1828	2	mixed	1	BigFam	0	2	1	SixItems	6
5	4224	1	uniform	1	BigFam	0	1	1	SixItems	6
5	1729	2	mixed	1	BigFam	0	2	1	SixItems	6
5	2710	2	mixed	1	SmallFam	0	2	2	SixItems	6
5	2042	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	2611	1	uniform	1	BigFam	0	1	1	SixItems	6
5	4928	2	mixed	1	BigFam	0	2	1	SixItems	6
5	1516	1	uniform	1	SmallFam	0	1	2	SixItems	6
5	1200	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	8365	1	uniform	1	BigFam	0	1	1	ThreeItems	3
6	2572	2	mixed	1	BigFam	0	2	1	ThreeItems	3
6	1354	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
6	1394	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
6	885	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
6	1596	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
6	1646	2	mixed	1	BigFam	0	2	1	ThreeItems	3
6	2413	1	uniform	1	BigFam	0	1	1	ThreeItems	3
6	1236	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
6	1449	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
6	1052	2	mixed	1	BigFam	0	2	1	ThreeItems	3
6	2003	1	uniform	1	BigFam	0	1	1	SixItems	6
6	1292	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	15490	1	uniform	0	BigFam	0	1	1	SixItems	6
6	2413	2	mixed	1	BigFam	0	2	1	SixItems	6
6	1198	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	1416	1	uniform	1	BigFam	0	1	1	SixItems	6
6	1852	2	mixed	1	BigFam	0	2	1	SixItems	6
6	1445	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	1411	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	1121	1	uniform	1	BigFam	0	1	1	SixItems	6
6	2688	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	1589	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	3058	2	mixed	0	BigFam	0	2	1	SixItems	6
6	1948	1	uniform	1	BigFam	0	1	1	SixItems	6
6	5356	1	uniform	0	SmallFam	0	1	2	SixItems	6
6	985	2	mixed	1	BigFam	0	2	1	SixItems	6
6	1864	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	2553	1	uniform	0	SmallFam	0	1	2	SixItems	6
6	6191	2	mixed	1	BigFam	0	2	1	SixItems	6
6	971	2	mixed	1	SmallFam	0	2	2	SixItems	6
